| episode:   1 | epsilon:  0.88 | reward:   0.0 | avg. reward: 0.000 | steps:   145 | total reward:   0.0|
| episode:   2 | epsilon:  0.86 | reward:   2.0 | avg. reward: 1.000 | steps:   397 | total reward:   2.0|
| episode:   3 | epsilon:  0.85 | reward:   2.0 | avg. reward: 1.333 | steps:   649 | total reward:   4.0|
| episode:   4 | epsilon:  0.83 | reward:   2.0 | avg. reward: 1.500 | steps:   907 | total reward:   6.0|
| episode:   5 | epsilon:  0.81 | reward:   4.0 | avg. reward: 2.000 | steps:  1293 | total reward:  10.0|
| episode:   6 | epsilon:  0.79 | reward:   0.0 | avg. reward: 1.667 | steps:  1449 | total reward:  10.0|
| episode:   7 | epsilon:  0.77 | reward:   1.0 | avg. reward: 1.571 | steps:  1672 | total reward:  11.0|
| episode:   8 | epsilon:  0.76 | reward:   0.0 | avg. reward: 1.375 | steps:  1829 | total reward:  11.0|
| episode:   9 | epsilon:  0.74 | reward:   2.0 | avg. reward: 1.444 | steps:  2080 | total reward:  13.0|
| episode:  10 | epsilon:  0.73 | reward:   1.0 | avg. reward: 1.400 | steps:  2295 | total reward:  14.0|
| episode:  11 | epsilon:  0.71 | reward:   2.0 | avg. reward: 1.455 | steps:  2581 | total reward:  16.0|
| episode:  12 | epsilon:  0.70 | reward:   2.0 | avg. reward: 1.500 | steps:  2834 | total reward:  18.0|
| episode:  13 | epsilon:  0.68 | reward:   2.0 | avg. reward: 1.538 | steps:  3107 | total reward:  20.0|
| episode:  14 | epsilon:  0.67 | reward:   0.0 | avg. reward: 1.429 | steps:  3257 | total reward:  20.0|
| episode:  15 | epsilon:  0.65 | reward:   1.0 | avg. reward: 1.400 | steps:  3442 | total reward:  21.0|
| episode:  16 | epsilon:  0.64 | reward:   3.0 | avg. reward: 1.500 | steps:  3770 | total reward:  24.0|
| episode:  17 | epsilon:  0.63 | reward:   2.0 | avg. reward: 1.529 | steps:  4030 | total reward:  26.0|
| episode:  18 | epsilon:  0.61 | reward:   0.0 | avg. reward: 1.444 | steps:  4196 | total reward:  26.0|
| episode:  19 | epsilon:  0.60 | reward:   4.0 | avg. reward: 1.579 | steps:  4581 | total reward:  30.0|
| episode:  20 | epsilon:  0.59 | reward:   1.0 | avg. reward: 1.550 | steps:  4794 | total reward:  31.0|
| episode:  21 | epsilon:  0.58 | reward:   0.0 | avg. reward: 1.476 | steps:  4956 | total reward:  31.0|
| episode:  22 | epsilon:  0.56 | reward:   2.0 | avg. reward: 1.500 | steps:  5217 | total reward:  33.0|
| episode:  23 | epsilon:  0.55 | reward:   1.0 | avg. reward: 1.478 | steps:  5431 | total reward:  34.0|
| episode:  24 | epsilon:  0.54 | reward:   0.0 | avg. reward: 1.417 | steps:  5585 | total reward:  34.0|
| episode:  25 | epsilon:  0.53 | reward:   2.0 | avg. reward: 1.440 | steps:  5846 | total reward:  36.0|
| episode:  26 | epsilon:  0.52 | reward:   2.0 | avg. reward: 1.462 | steps:  6127 | total reward:  38.0|
| episode:  27 | epsilon:  0.51 | reward:   2.0 | avg. reward: 1.481 | steps:  6381 | total reward:  40.0|
| episode:  28 | epsilon:  0.50 | reward:   3.0 | avg. reward: 1.536 | steps:  6695 | total reward:  43.0|
| episode:  29 | epsilon:  0.49 | reward:   3.0 | avg. reward: 1.586 | steps:  7015 | total reward:  46.0|
| episode:  30 | epsilon:  0.48 | reward:   1.0 | avg. reward: 1.567 | steps:  7233 | total reward:  47.0|
| episode:  31 | epsilon:  0.47 | reward:   0.0 | avg. reward: 1.516 | steps:  7394 | total reward:  47.0|
| episode:  32 | epsilon:  0.46 | reward:   2.0 | avg. reward: 1.531 | steps:  7677 | total reward:  49.0|
| episode:  33 | epsilon:  0.45 | reward:   0.0 | avg. reward: 1.485 | steps:  7834 | total reward:  49.0|
| episode:  34 | epsilon:  0.44 | reward:   2.0 | avg. reward: 1.500 | steps:  8089 | total reward:  51.0|
| episode:  35 | epsilon:  0.44 | reward:   1.0 | avg. reward: 1.486 | steps:  8306 | total reward:  52.0|
| episode:  36 | epsilon:  0.43 | reward:   1.0 | avg. reward: 1.472 | steps:  8511 | total reward:  53.0|
| episode:  37 | epsilon:  0.42 | reward:   0.0 | avg. reward: 1.432 | steps:  8666 | total reward:  53.0|
| episode:  38 | epsilon:  0.41 | reward:   1.0 | avg. reward: 1.421 | steps:  8880 | total reward:  54.0|
| episode:  39 | epsilon:  0.40 | reward:   2.0 | avg. reward: 1.436 | steps:  9106 | total reward:  56.0|
| episode:  40 | epsilon:  0.40 | reward:   3.0 | avg. reward: 1.475 | steps:  9433 | total reward:  59.0|
| episode:  41 | epsilon:  0.39 | reward:   1.0 | avg. reward: 1.463 | steps:  9642 | total reward:  60.0|
| episode:  42 | epsilon:  0.38 | reward:   3.0 | avg. reward: 1.500 | steps:  9962 | total reward:  63.0|
| episode:  43 | epsilon:  0.37 | reward:   1.0 | avg. reward: 1.488 | steps: 10152 | total reward:  64.0|
| episode:  44 | epsilon:  0.37 | reward:   0.0 | avg. reward: 1.455 | steps: 10319 | total reward:  64.0|
| episode:  45 | epsilon:  0.36 | reward:   0.0 | avg. reward: 1.422 | steps: 10483 | total reward:  64.0|
| episode:  46 | epsilon:  0.35 | reward:   2.0 | avg. reward: 1.435 | steps: 10741 | total reward:  66.0|
| episode:  47 | epsilon:  0.35 | reward:   1.0 | avg. reward: 1.426 | steps: 10952 | total reward:  67.0|
| episode:  48 | epsilon:  0.34 | reward:   1.0 | avg. reward: 1.417 | steps: 11183 | total reward:  68.0|
| episode:  49 | epsilon:  0.34 | reward:   2.0 | avg. reward: 1.429 | steps: 11433 | total reward:  70.0|
| episode:  50 | epsilon:  0.33 | reward:   1.0 | avg. reward: 1.420 | steps: 11646 | total reward:  71.0|
| episode:  51 | epsilon:  0.32 | reward:   2.0 | avg. reward: 1.431 | steps: 11879 | total reward:  73.0|
| episode:  52 | epsilon:  0.32 | reward:   2.0 | avg. reward: 1.442 | steps: 12150 | total reward:  75.0|
| episode:  53 | epsilon:  0.31 | reward:   4.0 | avg. reward: 1.491 | steps: 12528 | total reward:  79.0|
| episode:  54 | epsilon:  0.31 | reward:   0.0 | avg. reward: 1.463 | steps: 12678 | total reward:  79.0|
| episode:  55 | epsilon:  0.30 | reward:   2.0 | avg. reward: 1.473 | steps: 12933 | total reward:  81.0|
| episode:  56 | epsilon:  0.30 | reward:   0.0 | avg. reward: 1.446 | steps: 13078 | total reward:  81.0|
| episode:  57 | epsilon:  0.29 | reward:   0.0 | avg. reward: 1.421 | steps: 13227 | total reward:  81.0|
| episode:  58 | epsilon:  0.29 | reward:   4.0 | avg. reward: 1.466 | steps: 13592 | total reward:  85.0|
| episode:  59 | epsilon:  0.28 | reward:   2.0 | avg. reward: 1.475 | steps: 13855 | total reward:  87.0|
| episode:  60 | epsilon:  0.28 | reward:   5.0 | avg. reward: 1.533 | steps: 14284 | total reward:  92.0|
| episode:  61 | epsilon:  0.27 | reward:   0.0 | avg. reward: 1.508 | steps: 14442 | total reward:  92.0|
| episode:  62 | epsilon:  0.27 | reward:   2.0 | avg. reward: 1.516 | steps: 14692 | total reward:  94.0|
| episode:  63 | epsilon:  0.27 | reward:   2.0 | avg. reward: 1.524 | steps: 14923 | total reward:  96.0|
| episode:  64 | epsilon:  0.26 | reward:   0.0 | avg. reward: 1.500 | steps: 15073 | total reward:  96.0|
| episode:  65 | epsilon:  0.26 | reward:   3.0 | avg. reward: 1.523 | steps: 15372 | total reward:  99.0|
| episode:  66 | epsilon:  0.25 | reward:   0.0 | avg. reward: 1.500 | steps: 15527 | total reward:  99.0|
| episode:  67 | epsilon:  0.25 | reward:   0.0 | avg. reward: 1.478 | steps: 15693 | total reward:  99.0|
| episode:  68 | epsilon:  0.25 | reward:   2.0 | avg. reward: 1.485 | steps: 15943 | total reward: 101.0|
| episode:  69 | epsilon:  0.24 | reward:   2.0 | avg. reward: 1.493 | steps: 16201 | total reward: 103.0|
| episode:  70 | epsilon:  0.24 | reward:   2.0 | avg. reward: 1.500 | steps: 16493 | total reward: 105.0|
| episode:  71 | epsilon:  0.24 | reward:   0.0 | avg. reward: 1.479 | steps: 16644 | total reward: 105.0|
| episode:  72 | epsilon:  0.23 | reward:   0.0 | avg. reward: 1.458 | steps: 16798 | total reward: 105.0|
| episode:  73 | epsilon:  0.23 | reward:   0.0 | avg. reward: 1.438 | steps: 16955 | total reward: 105.0|
| episode:  74 | epsilon:  0.23 | reward:   1.0 | avg. reward: 1.432 | steps: 17171 | total reward: 106.0|
| episode:  75 | epsilon:  0.22 | reward:   3.0 | avg. reward: 1.453 | steps: 17518 | total reward: 109.0|
| episode:  76 | epsilon:  0.22 | reward:   0.0 | avg. reward: 1.434 | steps: 17674 | total reward: 109.0|
| episode:  77 | epsilon:  0.22 | reward:   1.0 | avg. reward: 1.429 | steps: 17894 | total reward: 110.0|
| episode:  78 | epsilon:  0.21 | reward:   5.0 | avg. reward: 1.474 | steps: 18337 | total reward: 115.0|
| episode:  79 | epsilon:  0.21 | reward:   0.0 | avg. reward: 1.456 | steps: 18492 | total reward: 115.0|
| episode:  80 | epsilon:  0.21 | reward:   2.0 | avg. reward: 1.462 | steps: 18742 | total reward: 117.0|
| episode:  81 | epsilon:  0.21 | reward:   2.0 | avg. reward: 1.469 | steps: 18998 | total reward: 119.0|
| episode:  82 | epsilon:  0.20 | reward:   2.0 | avg. reward: 1.476 | steps: 19255 | total reward: 121.0|
| episode:  83 | epsilon:  0.20 | reward:   4.0 | avg. reward: 1.506 | steps: 19605 | total reward: 125.0|
| episode:  84 | epsilon:  0.20 | reward:   4.0 | avg. reward: 1.536 | steps: 19965 | total reward: 129.0|
| episode:  85 | epsilon:  0.20 | reward:   1.0 | avg. reward: 1.529 | steps: 20174 | total reward: 130.0|
| episode:  86 | epsilon:  0.19 | reward:   0.0 | avg. reward: 1.512 | steps: 20328 | total reward: 130.0|
| episode:  87 | epsilon:  0.19 | reward:   0.0 | avg. reward: 1.494 | steps: 20477 | total reward: 130.0|
| episode:  88 | epsilon:  0.19 | reward:   6.0 | avg. reward: 1.545 | steps: 20936 | total reward: 136.0|
| episode:  89 | epsilon:  0.19 | reward:   0.0 | avg. reward: 1.528 | steps: 21169 | total reward: 136.0|
| episode:  90 | epsilon:  0.18 | reward:   2.0 | avg. reward: 1.533 | steps: 21424 | total reward: 138.0|
| episode:  91 | epsilon:  0.18 | reward:   2.0 | avg. reward: 1.538 | steps: 21667 | total reward: 140.0|
| episode:  92 | epsilon:  0.18 | reward:   2.0 | avg. reward: 1.543 | steps: 21921 | total reward: 142.0|
| episode:  93 | epsilon:  0.18 | reward:   3.0 | avg. reward: 1.559 | steps: 22212 | total reward: 145.0|
| episode:  94 | epsilon:  0.18 | reward:   0.0 | avg. reward: 1.543 | steps: 22368 | total reward: 145.0|
| episode:  95 | epsilon:  0.17 | reward:   0.0 | avg. reward: 1.526 | steps: 22529 | total reward: 145.0|
| episode:  96 | epsilon:  0.17 | reward:   0.0 | avg. reward: 1.510 | steps: 22678 | total reward: 145.0|
| episode:  97 | epsilon:  0.17 | reward:   0.0 | avg. reward: 1.495 | steps: 22834 | total reward: 145.0|
| episode:  98 | epsilon:  0.17 | reward:   1.0 | avg. reward: 1.490 | steps: 23024 | total reward: 146.0|
| episode:  99 | epsilon:  0.17 | reward:   2.0 | avg. reward: 1.495 | steps: 23302 | total reward: 148.0|
| episode: 100 | epsilon:  0.17 | reward:   0.0 | avg. reward: 1.480 | steps: 23460 | total reward: 148.0|
| episode: 101 | epsilon:  0.16 | reward:   0.0 | avg. reward: 1.480 | steps: 23615 | total reward: 148.0|
| episode: 102 | epsilon:  0.16 | reward:   0.0 | avg. reward: 1.460 | steps: 23765 | total reward: 148.0|
| episode: 103 | epsilon:  0.16 | reward:   2.0 | avg. reward: 1.460 | steps: 24024 | total reward: 150.0|
| episode: 104 | epsilon:  0.16 | reward:   0.0 | avg. reward: 1.440 | steps: 24181 | total reward: 150.0|
| episode: 105 | epsilon:  0.16 | reward:   0.0 | avg. reward: 1.400 | steps: 24335 | total reward: 150.0|
| episode: 106 | epsilon:  0.16 | reward:   0.0 | avg. reward: 1.400 | steps: 24485 | total reward: 150.0|
| episode: 107 | epsilon:  0.16 | reward:   2.0 | avg. reward: 1.410 | steps: 24735 | total reward: 152.0|
| episode: 108 | epsilon:  0.15 | reward:   1.0 | avg. reward: 1.420 | steps: 24956 | total reward: 153.0|
| episode: 109 | epsilon:  0.15 | reward:   0.0 | avg. reward: 1.400 | steps: 25111 | total reward: 153.0|
| episode: 110 | epsilon:  0.15 | reward:   3.0 | avg. reward: 1.420 | steps: 25402 | total reward: 156.0|
| episode: 111 | epsilon:  0.15 | reward:   2.0 | avg. reward: 1.420 | steps: 25655 | total reward: 158.0|
| episode: 112 | epsilon:  0.15 | reward:   0.0 | avg. reward: 1.400 | steps: 25814 | total reward: 158.0|
| episode: 113 | epsilon:  0.15 | reward:   1.0 | avg. reward: 1.390 | steps: 26024 | total reward: 159.0|
| episode: 114 | epsilon:  0.15 | reward:   0.0 | avg. reward: 1.390 | steps: 26175 | total reward: 159.0|
| episode: 115 | epsilon:  0.15 | reward:   0.0 | avg. reward: 1.380 | steps: 26330 | total reward: 159.0|
| episode: 116 | epsilon:  0.14 | reward:   2.0 | avg. reward: 1.370 | steps: 26580 | total reward: 161.0|
| episode: 117 | epsilon:  0.14 | reward:   0.0 | avg. reward: 1.350 | steps: 26733 | total reward: 161.0|
| episode: 118 | epsilon:  0.14 | reward:   2.0 | avg. reward: 1.370 | steps: 27007 | total reward: 163.0|
| episode: 119 | epsilon:  0.14 | reward:   1.0 | avg. reward: 1.340 | steps: 27216 | total reward: 164.0|
| episode: 120 | epsilon:  0.14 | reward:   0.0 | avg. reward: 1.330 | steps: 27373 | total reward: 164.0|
| episode: 121 | epsilon:  0.14 | reward:   0.0 | avg. reward: 1.330 | steps: 27523 | total reward: 164.0|
| episode: 122 | epsilon:  0.14 | reward:   3.0 | avg. reward: 1.340 | steps: 27812 | total reward: 167.0|
| episode: 123 | epsilon:  0.14 | reward:   2.0 | avg. reward: 1.350 | steps: 28061 | total reward: 169.0|
| episode: 124 | epsilon:  0.14 | reward:   2.0 | avg. reward: 1.370 | steps: 28334 | total reward: 171.0|
| episode: 125 | epsilon:  0.14 | reward:   2.0 | avg. reward: 1.370 | steps: 28586 | total reward: 173.0|
| episode: 126 | epsilon:  0.13 | reward:   0.0 | avg. reward: 1.350 | steps: 28741 | total reward: 173.0|
