+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+------------------------------------------+
|          Parameter           |                  Value                   |
+==============================+==========================================+
| Layer Type:                  | hopfield_pooling                         |
+------------------------------+------------------------------------------+
| Loss Metric:                 | mse                                      |
+------------------------------+------------------------------------------+
| Sequence Length:             | 20                                       |
+------------------------------+------------------------------------------+
| Learning Rate:               | 0.001                                    |
+------------------------------+------------------------------------------+
| Target Update Steps:         | 100                                      |
+------------------------------+------------------------------------------+
| Optimizer:                   | rmsprop                                  |
+------------------------------+------------------------------------------+
| Weight Decay:                | 0                                        |
+------------------------------+------------------------------------------+
| Hopfield Inverse Temperature | 100                                      |
+------------------------------+------------------------------------------+
| Scale Q-values with lr       | False                                    |
+------------------------------+------------------------------------------+
| Hard or Soft Update          | True                                     |
+------------------------------+------------------------------------------+
| Polyak Factor                | None                                     |
+------------------------------+------------------------------------------+
| Make POMDP                   | Train: False, Hidden dims: [1], mask     |
|                              | Evaluation: True, Hidden dims: [1], mask |
+------------------------------+------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.89 | Reward:   0.0 | Average Reward: 0.000 | Steps:   152 | Total Reward:   0.0|
| Episode:   2 | Epsilon:  0.89 | Reward:   0.0 | Average Reward: 0.000 | Steps:   308 | Total Reward:   0.0|
| Episode:   3 | Epsilon:  0.88 | Reward:   1.0 | Average Reward: 0.333 | Steps:   520 | Total Reward:   1.0|
| Episode:   4 | Epsilon:  0.87 | Reward:   0.0 | Average Reward: 0.250 | Steps:   666 | Total Reward:   1.0|
| Episode:   5 | Epsilon:  0.86 | Reward:   1.0 | Average Reward: 0.400 | Steps:   886 | Total Reward:   2.0|
| Episode:   6 | Epsilon:  0.85 | Reward:   2.0 | Average Reward: 0.667 | Steps:  1174 | Total Reward:   4.0|
| Episode:   7 | Epsilon:  0.85 | Reward:   0.0 | Average Reward: 0.571 | Steps:  1322 | Total Reward:   4.0|
| Episode:   8 | Epsilon:  0.84 | Reward:   0.0 | Average Reward: 0.500 | Steps:  1477 | Total Reward:   4.0|
| Episode:   9 | Epsilon:  0.83 | Reward:   2.0 | Average Reward: 0.667 | Steps:  1705 | Total Reward:   6.0|
| Episode:  10 | Epsilon:  0.83 | Reward:   2.0 | Average Reward: 0.800 | Steps:  1960 | Total Reward:   8.0|
| Episode:  11 | Epsilon:  0.82 | Reward:   1.0 | Average Reward: 0.818 | Steps:  2153 | Total Reward:   9.0|
| Episode:  12 | Epsilon:  0.81 | Reward:   1.0 | Average Reward: 0.833 | Steps:  2353 | Total Reward:  10.0|
| Episode:  13 | Epsilon:  0.80 | Reward:   1.0 | Average Reward: 0.846 | Steps:  2544 | Total Reward:  11.0|
| Episode:  14 | Epsilon:  0.80 | Reward:   1.0 | Average Reward: 0.857 | Steps:  2738 | Total Reward:  12.0|
| Episode:  15 | Epsilon:  0.79 | Reward:   0.0 | Average Reward: 0.800 | Steps:  2891 | Total Reward:  12.0|
| Episode:  16 | Epsilon:  0.78 | Reward:   5.0 | Average Reward: 1.062 | Steps:  3331 | Total Reward:  17.0|
