+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+---------------------------------------------+
|          Parameter           |                    Value                    |
+==============================+=============================================+
| Layer Type:                  | gru                                         |
+------------------------------+---------------------------------------------+
| Loss Metric:                 | huber                                       |
+------------------------------+---------------------------------------------+
| Sequence Length:             | 20                                          |
+------------------------------+---------------------------------------------+
| Learning Rate:               | 0.001                                       |
+------------------------------+---------------------------------------------+
| Target Update Steps:         | 100                                         |
+------------------------------+---------------------------------------------+
| Optimizer:                   | rmsprop                                     |
+------------------------------+---------------------------------------------+
| Hopfield Inverse Temperature | 0.100                                       |
+------------------------------+---------------------------------------------+
| Scale Q-values with lr       | True                                        |
+------------------------------+---------------------------------------------+
| Hard or Soft Update          | True                                        |
+------------------------------+---------------------------------------------+
| Polyak Factor                | None                                        |
+------------------------------+---------------------------------------------+
| Make POMDP                   | Train: True, Hidden dims: [1], mask         |
|                              | Evaluation: True, Hidden dims: [1, 2], mask |
+------------------------------+---------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.90 | Reward:  11.0 | Average Reward: 11.000 | Steps:    11 | Total Reward:  11.0|
| Episode:   2 | Epsilon:  0.86 | Reward:  23.0 | Average Reward: 17.000 | Steps:    34 | Total Reward:  34.0|
| Episode:   3 | Epsilon:  0.82 | Reward:  19.0 | Average Reward: 17.667 | Steps:    53 | Total Reward:  53.0|
| Episode:   4 | Epsilon:  0.79 | Reward:  14.0 | Average Reward: 16.750 | Steps:    67 | Total Reward:  67.0|
| Episode:   5 | Epsilon:  0.75 | Reward:  10.0 | Average Reward: 15.400 | Steps:    77 | Total Reward:  77.0|
| Episode:   6 | Epsilon:  0.72 | Reward:  11.0 | Average Reward: 14.667 | Steps:    88 | Total Reward:  88.0|
| Episode:   7 | Epsilon:  0.69 | Reward:  13.0 | Average Reward: 14.429 | Steps:   101 | Total Reward: 101.0|
| Episode:   8 | Epsilon:  0.66 | Reward:  27.0 | Average Reward: 16.000 | Steps:   128 | Total Reward: 128.0|
| Episode:   9 | Epsilon:  0.64 | Reward:   9.0 | Average Reward: 15.222 | Steps:   137 | Total Reward: 137.0|
| Episode:  10 | Epsilon:  0.61 | Reward:  11.0 | Average Reward: 14.800 | Steps:   148 | Total Reward: 148.0|
| Episode:  11 | Epsilon:  0.59 | Reward:  16.0 | Average Reward: 14.909 | Steps:   164 | Total Reward: 164.0|
| Episode:  12 | Epsilon:  0.56 | Reward:  10.0 | Average Reward: 14.500 | Steps:   174 | Total Reward: 174.0|
| Episode:  13 | Epsilon:  0.54 | Reward:  14.0 | Average Reward: 14.462 | Steps:   188 | Total Reward: 188.0|
| Episode:  14 | Epsilon:  0.52 | Reward:  10.0 | Average Reward: 14.143 | Steps:   198 | Total Reward: 198.0|
| Episode:  15 | Epsilon:  0.50 | Reward:  10.0 | Average Reward: 13.867 | Steps:   208 | Total Reward: 208.0|
| Episode:  16 | Epsilon:  0.48 | Reward:  14.0 | Average Reward: 13.875 | Steps:   222 | Total Reward: 222.0|
