| Episode:   1 | Epsilon:  0.88 | Reward:   0.0 | Average Reward: 0.000 | steps:   145 | Total Reward:   0.0|
| Episode:   2 | Epsilon:  0.86 | Reward:   2.0 | Average Reward: 1.000 | steps:   397 | Total Reward:   2.0|
| Episode:   3 | Epsilon:  0.85 | Reward:   2.0 | Average Reward: 1.333 | steps:   649 | Total Reward:   4.0|
| Episode:   4 | Epsilon:  0.83 | Reward:   2.0 | Average Reward: 1.500 | steps:   907 | Total Reward:   6.0|
| Episode:   5 | Epsilon:  0.81 | Reward:   4.0 | Average Reward: 2.000 | steps:  1293 | Total Reward:  10.0|
| Episode:   6 | Epsilon:  0.79 | Reward:   0.0 | Average Reward: 1.667 | steps:  1449 | Total Reward:  10.0|
| Episode:   7 | Epsilon:  0.77 | Reward:   1.0 | Average Reward: 1.571 | steps:  1672 | Total Reward:  11.0|
| Episode:   8 | Epsilon:  0.76 | Reward:   0.0 | Average Reward: 1.375 | steps:  1829 | Total Reward:  11.0|
| Episode:   9 | Epsilon:  0.74 | Reward:   2.0 | Average Reward: 1.444 | steps:  2080 | Total Reward:  13.0|
| Episode:  10 | Epsilon:  0.73 | Reward:   1.0 | Average Reward: 1.400 | steps:  2295 | Total Reward:  14.0|
| Episode:  11 | Epsilon:  0.71 | Reward:   2.0 | Average Reward: 1.455 | steps:  2581 | Total Reward:  16.0|
| Episode:  12 | Epsilon:  0.70 | Reward:   2.0 | Average Reward: 1.500 | steps:  2834 | Total Reward:  18.0|
| Episode:  13 | Epsilon:  0.68 | Reward:   2.0 | Average Reward: 1.538 | steps:  3107 | Total Reward:  20.0|
| Episode:  14 | Epsilon:  0.67 | Reward:   0.0 | Average Reward: 1.429 | steps:  3257 | Total Reward:  20.0|
| Episode:  15 | Epsilon:  0.65 | Reward:   1.0 | Average Reward: 1.400 | steps:  3442 | Total Reward:  21.0|
| Episode:  16 | Epsilon:  0.64 | Reward:   3.0 | Average Reward: 1.500 | steps:  3770 | Total Reward:  24.0|
| Episode:  17 | Epsilon:  0.63 | Reward:   2.0 | Average Reward: 1.529 | steps:  4030 | Total Reward:  26.0|
| Episode:  18 | Epsilon:  0.61 | Reward:   0.0 | Average Reward: 1.444 | steps:  4196 | Total Reward:  26.0|
| Episode:  19 | Epsilon:  0.60 | Reward:   4.0 | Average Reward: 1.579 | steps:  4581 | Total Reward:  30.0|
| Episode:  20 | Epsilon:  0.59 | Reward:   1.0 | Average Reward: 1.550 | steps:  4794 | Total Reward:  31.0|
| Episode:  21 | Epsilon:  0.58 | Reward:   0.0 | Average Reward: 1.476 | steps:  4956 | Total Reward:  31.0|
| Episode:  22 | Epsilon:  0.56 | Reward:   2.0 | Average Reward: 1.500 | steps:  5217 | Total Reward:  33.0|
| Episode:  23 | Epsilon:  0.55 | Reward:   1.0 | Average Reward: 1.478 | steps:  5431 | Total Reward:  34.0|
| Episode:  24 | Epsilon:  0.54 | Reward:   0.0 | Average Reward: 1.417 | steps:  5585 | Total Reward:  34.0|
| Episode:  25 | Epsilon:  0.53 | Reward:   2.0 | Average Reward: 1.440 | steps:  5846 | Total Reward:  36.0|
| Episode:  26 | Epsilon:  0.52 | Reward:   2.0 | Average Reward: 1.462 | steps:  6127 | Total Reward:  38.0|
| Episode:  27 | Epsilon:  0.51 | Reward:   2.0 | Average Reward: 1.481 | steps:  6381 | Total Reward:  40.0|
| Episode:  28 | Epsilon:  0.50 | Reward:   3.0 | Average Reward: 1.536 | steps:  6695 | Total Reward:  43.0|
| Episode:  29 | Epsilon:  0.49 | Reward:   3.0 | Average Reward: 1.586 | steps:  7015 | Total Reward:  46.0|
| Episode:  30 | Epsilon:  0.48 | Reward:   1.0 | Average Reward: 1.567 | steps:  7233 | Total Reward:  47.0|
| Episode:  31 | Epsilon:  0.47 | Reward:   0.0 | Average Reward: 1.516 | steps:  7394 | Total Reward:  47.0|
| Episode:  32 | Epsilon:  0.46 | Reward:   2.0 | Average Reward: 1.531 | steps:  7677 | Total Reward:  49.0|
| Episode:  33 | Epsilon:  0.45 | Reward:   0.0 | Average Reward: 1.485 | steps:  7834 | Total Reward:  49.0|
| Episode:  34 | Epsilon:  0.44 | Reward:   2.0 | Average Reward: 1.500 | steps:  8089 | Total Reward:  51.0|
| Episode:  35 | Epsilon:  0.44 | Reward:   1.0 | Average Reward: 1.486 | steps:  8306 | Total Reward:  52.0|
| Episode:  36 | Epsilon:  0.43 | Reward:   1.0 | Average Reward: 1.472 | steps:  8511 | Total Reward:  53.0|
| Episode:  37 | Epsilon:  0.42 | Reward:   0.0 | Average Reward: 1.432 | steps:  8666 | Total Reward:  53.0|
| Episode:  38 | Epsilon:  0.41 | Reward:   1.0 | Average Reward: 1.421 | steps:  8880 | Total Reward:  54.0|
| Episode:  39 | Epsilon:  0.40 | Reward:   2.0 | Average Reward: 1.436 | steps:  9106 | Total Reward:  56.0|
| Episode:  40 | Epsilon:  0.40 | Reward:   3.0 | Average Reward: 1.475 | steps:  9433 | Total Reward:  59.0|
| Episode:  41 | Epsilon:  0.39 | Reward:   1.0 | Average Reward: 1.463 | steps:  9642 | Total Reward:  60.0|
| Episode:  42 | Epsilon:  0.38 | Reward:   3.0 | Average Reward: 1.500 | steps:  9962 | Total Reward:  63.0|
| Episode:  43 | Epsilon:  0.37 | Reward:   1.0 | Average Reward: 1.488 | steps: 10152 | Total Reward:  64.0|
| Episode:  44 | Epsilon:  0.37 | Reward:   0.0 | Average Reward: 1.455 | steps: 10319 | Total Reward:  64.0|
| Episode:  45 | Epsilon:  0.36 | Reward:   0.0 | Average Reward: 1.422 | steps: 10483 | Total Reward:  64.0|
| Episode:  46 | Epsilon:  0.35 | Reward:   2.0 | Average Reward: 1.435 | steps: 10741 | Total Reward:  66.0|
| Episode:  47 | Epsilon:  0.35 | Reward:   1.0 | Average Reward: 1.426 | steps: 10952 | Total Reward:  67.0|
| Episode:  48 | Epsilon:  0.34 | Reward:   1.0 | Average Reward: 1.417 | steps: 11183 | Total Reward:  68.0|
| Episode:  49 | Epsilon:  0.34 | Reward:   2.0 | Average Reward: 1.429 | steps: 11433 | Total Reward:  70.0|
| Episode:  50 | Epsilon:  0.33 | Reward:   1.0 | Average Reward: 1.420 | steps: 11646 | Total Reward:  71.0|
| Episode:  51 | Epsilon:  0.32 | Reward:   2.0 | Average Reward: 1.431 | steps: 11879 | Total Reward:  73.0|
| Episode:  52 | Epsilon:  0.32 | Reward:   2.0 | Average Reward: 1.442 | steps: 12150 | Total Reward:  75.0|
| Episode:  53 | Epsilon:  0.31 | Reward:   4.0 | Average Reward: 1.491 | steps: 12528 | Total Reward:  79.0|
| Episode:  54 | Epsilon:  0.31 | Reward:   0.0 | Average Reward: 1.463 | steps: 12678 | Total Reward:  79.0|
| Episode:  55 | Epsilon:  0.30 | Reward:   2.0 | Average Reward: 1.473 | steps: 12933 | Total Reward:  81.0|
| Episode:  56 | Epsilon:  0.30 | Reward:   0.0 | Average Reward: 1.446 | steps: 13078 | Total Reward:  81.0|
| Episode:  57 | Epsilon:  0.29 | Reward:   0.0 | Average Reward: 1.421 | steps: 13227 | Total Reward:  81.0|
| Episode:  58 | Epsilon:  0.29 | Reward:   4.0 | Average Reward: 1.466 | steps: 13592 | Total Reward:  85.0|
| Episode:  59 | Epsilon:  0.28 | Reward:   2.0 | Average Reward: 1.475 | steps: 13855 | Total Reward:  87.0|
| Episode:  60 | Epsilon:  0.28 | Reward:   5.0 | Average Reward: 1.533 | steps: 14284 | Total Reward:  92.0|
| Episode:  61 | Epsilon:  0.27 | Reward:   0.0 | Average Reward: 1.508 | steps: 14442 | Total Reward:  92.0|
| Episode:  62 | Epsilon:  0.27 | Reward:   2.0 | Average Reward: 1.516 | steps: 14692 | Total Reward:  94.0|
| Episode:  63 | Epsilon:  0.27 | Reward:   2.0 | Average Reward: 1.524 | steps: 14923 | Total Reward:  96.0|
| Episode:  64 | Epsilon:  0.26 | Reward:   0.0 | Average Reward: 1.500 | steps: 15073 | Total Reward:  96.0|
| Episode:  65 | Epsilon:  0.26 | Reward:   3.0 | Average Reward: 1.523 | steps: 15372 | Total Reward:  99.0|
| Episode:  66 | Epsilon:  0.25 | Reward:   0.0 | Average Reward: 1.500 | steps: 15527 | Total Reward:  99.0|
| Episode:  67 | Epsilon:  0.25 | Reward:   0.0 | Average Reward: 1.478 | steps: 15693 | Total Reward:  99.0|
| Episode:  68 | Epsilon:  0.25 | Reward:   2.0 | Average Reward: 1.485 | steps: 15943 | Total Reward: 101.0|
| Episode:  69 | Epsilon:  0.24 | Reward:   2.0 | Average Reward: 1.493 | steps: 16201 | Total Reward: 103.0|
| Episode:  70 | Epsilon:  0.24 | Reward:   2.0 | Average Reward: 1.500 | steps: 16493 | Total Reward: 105.0|
| Episode:  71 | Epsilon:  0.24 | Reward:   0.0 | Average Reward: 1.479 | steps: 16644 | Total Reward: 105.0|
| Episode:  72 | Epsilon:  0.23 | Reward:   0.0 | Average Reward: 1.458 | steps: 16798 | Total Reward: 105.0|
| Episode:  73 | Epsilon:  0.23 | Reward:   0.0 | Average Reward: 1.438 | steps: 16955 | Total Reward: 105.0|
| Episode:  74 | Epsilon:  0.23 | Reward:   1.0 | Average Reward: 1.432 | steps: 17171 | Total Reward: 106.0|
| Episode:  75 | Epsilon:  0.22 | Reward:   3.0 | Average Reward: 1.453 | steps: 17518 | Total Reward: 109.0|
| Episode:  76 | Epsilon:  0.22 | Reward:   0.0 | Average Reward: 1.434 | steps: 17674 | Total Reward: 109.0|
| Episode:  77 | Epsilon:  0.22 | Reward:   1.0 | Average Reward: 1.429 | steps: 17894 | Total Reward: 110.0|
| Episode:  78 | Epsilon:  0.21 | Reward:   5.0 | Average Reward: 1.474 | steps: 18337 | Total Reward: 115.0|
| Episode:  79 | Epsilon:  0.21 | Reward:   0.0 | Average Reward: 1.456 | steps: 18492 | Total Reward: 115.0|
| Episode:  80 | Epsilon:  0.21 | Reward:   2.0 | Average Reward: 1.462 | steps: 18742 | Total Reward: 117.0|
| Episode:  81 | Epsilon:  0.21 | Reward:   2.0 | Average Reward: 1.469 | steps: 18998 | Total Reward: 119.0|
| Episode:  82 | Epsilon:  0.20 | Reward:   2.0 | Average Reward: 1.476 | steps: 19255 | Total Reward: 121.0|
| Episode:  83 | Epsilon:  0.20 | Reward:   4.0 | Average Reward: 1.506 | steps: 19605 | Total Reward: 125.0|
| Episode:  84 | Epsilon:  0.20 | Reward:   4.0 | Average Reward: 1.536 | steps: 19965 | Total Reward: 129.0|
