+------------------------+----------------------------+--------------------+
|                        |     Supported Features     |  Program Commands  |
+========================+============================+====================+
| Compatible Layers      | Hopfield Layer,            | hopfield,          |
|                        | HopfieldLayer Layer,       | hopfield_layer,    |
|                        | HopfieldPooling Layer,     | hopfield_pooling,  |
|                        | LSTM,                      | lstm,              |
|                        | GRU                        | gru                |
+------------------------+----------------------------+--------------------+
| Supported Loss Metrics | Huber Loss,                | huber,             |
|                        | Mean Absolute Error Loss,  | mae,               |
|                        | Mean Squared Error Loss,   | mse,               |
|                        | SmoothL1 Loss              | smooth_l1          |
+------------------------+----------------------------+--------------------+
| Supported Optimizers   | RMSprop (default),         | rmsprop,           |
|                        | AdamW,                     | adam,              |
|                        | Adam,                      | adamW,             |
|                        | SGD                        |  sgd               |
+------------------------+----------------------------+--------------------+
+------------------------------+------------------------------------------+
|          Parameter           |                  Value                   |
+==============================+==========================================+
| Layer Type:                  | hopfield_pooling                         |
+------------------------------+------------------------------------------+
| Loss Metric:                 | mse                                      |
+------------------------------+------------------------------------------+
| Sequence Length:             | 20                                       |
+------------------------------+------------------------------------------+
| Learning Rate:               | 0.000                                    |
+------------------------------+------------------------------------------+
| Target Update Steps:         | 100                                      |
+------------------------------+------------------------------------------+
| Optimizer:                   | rmsprop                                  |
+------------------------------+------------------------------------------+
| Weight Decay:                | 0                                        |
+------------------------------+------------------------------------------+
| Hopfield Inverse Temperature | 0.100                                    |
+------------------------------+------------------------------------------+
| Scale Q-values with lr       | False                                    |
+------------------------------+------------------------------------------+
| Hard or Soft Update          | True                                     |
+------------------------------+------------------------------------------+
| Polyak Factor                | None                                     |
+------------------------------+------------------------------------------+
| Make POMDP                   | Train: False, Hidden dims: [1], mask     |
|                              | Evaluation: True, Hidden dims: [1], mask |
+------------------------------+------------------------------------------+
---------------
| TRAINING... |
---------------
| Episode:   1 | Epsilon:  0.89 | Reward:   1.0 | Average Reward: 1.000 | Steps:   189 | Total Reward:   1.0|
| Episode:   2 | Epsilon:  0.88 | Reward:   0.0 | Average Reward: 0.500 | Steps:   350 | Total Reward:   1.0|
| Episode:   3 | Epsilon:  0.87 | Reward:   1.0 | Average Reward: 0.667 | Steps:   559 | Total Reward:   2.0|
| Episode:   4 | Epsilon:  0.86 | Reward:   1.0 | Average Reward: 0.750 | Steps:   751 | Total Reward:   3.0|
| Episode:   5 | Epsilon:  0.85 | Reward:   2.0 | Average Reward: 1.000 | Steps:   985 | Total Reward:   5.0|
| Episode:   6 | Epsilon:  0.84 | Reward:   0.0 | Average Reward: 0.833 | Steps:  1141 | Total Reward:   5.0|
| Episode:   7 | Epsilon:  0.83 | Reward:   2.0 | Average Reward: 1.000 | Steps:  1406 | Total Reward:   7.0|
| Episode:   8 | Epsilon:  0.82 | Reward:   2.0 | Average Reward: 1.125 | Steps:  1685 | Total Reward:   9.0|
| Episode:   9 | Epsilon:  0.81 | Reward:   3.0 | Average Reward: 1.333 | Steps:  2033 | Total Reward:  12.0|
| Episode:  10 | Epsilon:  0.80 | Reward:   0.0 | Average Reward: 1.200 | Steps:  2195 | Total Reward:  12.0|
| Episode:  11 | Epsilon:  0.79 | Reward:   1.0 | Average Reward: 1.182 | Steps:  2389 | Total Reward:  13.0|
| Episode:  12 | Epsilon:  0.78 | Reward:   2.0 | Average Reward: 1.250 | Steps:  2664 | Total Reward:  15.0|
| Episode:  13 | Epsilon:  0.77 | Reward:   1.0 | Average Reward: 1.231 | Steps:  2853 | Total Reward:  16.0|
| Episode:  14 | Epsilon:  0.76 | Reward:   0.0 | Average Reward: 1.143 | Steps:  3008 | Total Reward:  16.0|
| Episode:  15 | Epsilon:  0.75 | Reward:   1.0 | Average Reward: 1.133 | Steps:  3202 | Total Reward:  17.0|
| Episode:  16 | Epsilon:  0.74 | Reward:   1.0 | Average Reward: 1.125 | Steps:  3394 | Total Reward:  18.0|
