| Episode:   1 | Epsilon:  0.90 | Reward:  21.0 | Average Reward: 21.000 | Steps:    21| Total Reward:  21.0|
| Episode:   2 | Epsilon:  0.86 | Reward:  14.0 | Average Reward: 17.500 | Steps:    35| Total Reward:  35.0|
| Episode:   3 | Epsilon:  0.82 | Reward:  12.0 | Average Reward: 15.667 | Steps:    47| Total Reward:  47.0|
| Episode:   4 | Epsilon:  0.79 | Reward:  45.0 | Average Reward: 23.000 | Steps:    92| Total Reward:  92.0|
| Episode:   5 | Epsilon:  0.75 | Reward:  20.0 | Average Reward: 22.400 | Steps:   112| Total Reward: 112.0|
| Episode:   6 | Epsilon:  0.72 | Reward:  15.0 | Average Reward: 21.167 | Steps:   127| Total Reward: 127.0|
| Episode:   7 | Epsilon:  0.69 | Reward:   9.0 | Average Reward: 19.429 | Steps:   136| Total Reward: 136.0|
| Episode:   8 | Epsilon:  0.66 | Reward:  13.0 | Average Reward: 18.625 | Steps:   149| Total Reward: 149.0|
| Episode:   9 | Epsilon:  0.64 | Reward:  23.0 | Average Reward: 19.111 | Steps:   172| Total Reward: 172.0|
| Episode:  10 | Epsilon:  0.61 | Reward:  24.0 | Average Reward: 19.600 | Steps:   196| Total Reward: 196.0|
| Episode:  11 | Epsilon:  0.59 | Reward:  10.0 | Average Reward: 18.727 | Steps:   206| Total Reward: 206.0|
| Episode:  12 | Epsilon:  0.56 | Reward:  19.0 | Average Reward: 18.750 | Steps:   225| Total Reward: 225.0|
| Episode:  13 | Epsilon:  0.54 | Reward:  15.0 | Average Reward: 18.462 | Steps:   240| Total Reward: 240.0|
| Episode:  14 | Epsilon:  0.52 | Reward:  17.0 | Average Reward: 18.357 | Steps:   257| Total Reward: 257.0|
| Episode:  15 | Epsilon:  0.50 | Reward:  16.0 | Average Reward: 18.200 | Steps:   273| Total Reward: 273.0|
| Episode:  16 | Epsilon:  0.48 | Reward:  15.0 | Average Reward: 18.000 | Steps:   288| Total Reward: 288.0|
| Episode:  17 | Epsilon:  0.46 | Reward:  21.0 | Average Reward: 18.176 | Steps:   309| Total Reward: 309.0|
| Episode:  18 | Epsilon:  0.44 | Reward:  14.0 | Average Reward: 17.944 | Steps:   323| Total Reward: 323.0|
| Episode:  19 | Epsilon:  0.43 | Reward:  12.0 | Average Reward: 17.632 | Steps:   335| Total Reward: 335.0|
| Episode:  20 | Epsilon:  0.41 | Reward:  13.0 | Average Reward: 17.400 | Steps:   348| Total Reward: 348.0|
| Episode:  21 | Epsilon:  0.39 | Reward:  10.0 | Average Reward: 17.048 | Steps:   358| Total Reward: 358.0|
| Episode:  22 | Epsilon:  0.38 | Reward:  11.0 | Average Reward: 16.773 | Steps:   369| Total Reward: 369.0|
| Episode:  23 | Epsilon:  0.37 | Reward:  12.0 | Average Reward: 16.565 | Steps:   381| Total Reward: 381.0|
| Episode:  24 | Epsilon:  0.35 | Reward:  11.0 | Average Reward: 16.333 | Steps:   392| Total Reward: 392.0|
| Episode:  25 | Epsilon:  0.34 | Reward:   8.0 | Average Reward: 16.000 | Steps:   400| Total Reward: 400.0|
| Episode:  26 | Epsilon:  0.33 | Reward:   9.0 | Average Reward: 15.731 | Steps:   409| Total Reward: 409.0|
| Episode:  27 | Epsilon:  0.32 | Reward:  14.0 | Average Reward: 15.667 | Steps:   423| Total Reward: 423.0|
| Episode:  28 | Epsilon:  0.31 | Reward:  15.0 | Average Reward: 15.643 | Steps:   438| Total Reward: 438.0|
| Episode:  29 | Epsilon:  0.30 | Reward:  13.0 | Average Reward: 15.552 | Steps:   451| Total Reward: 451.0|
| Episode:  30 | Epsilon:  0.29 | Reward:  10.0 | Average Reward: 15.367 | Steps:   461| Total Reward: 461.0|
| Episode:  31 | Epsilon:  0.28 | Reward:  12.0 | Average Reward: 15.258 | Steps:   473| Total Reward: 473.0|
| Episode:  32 | Epsilon:  0.27 | Reward:  10.0 | Average Reward: 15.094 | Steps:   483| Total Reward: 483.0|
| Episode:  33 | Epsilon:  0.26 | Reward:  10.0 | Average Reward: 14.939 | Steps:   493| Total Reward: 493.0|
| Episode:  34 | Epsilon:  0.25 | Reward:   9.0 | Average Reward: 14.765 | Steps:   502| Total Reward: 502.0|
| Episode:  35 | Epsilon:  0.25 | Reward:  12.0 | Average Reward: 14.686 | Steps:   514| Total Reward: 514.0|
| Episode:  36 | Epsilon:  0.24 | Reward:   9.0 | Average Reward: 14.528 | Steps:   523| Total Reward: 523.0|
| Episode:  37 | Epsilon:  0.23 | Reward:   9.0 | Average Reward: 14.378 | Steps:   532| Total Reward: 532.0|
| Episode:  38 | Epsilon:  0.23 | Reward:  11.0 | Average Reward: 14.289 | Steps:   543| Total Reward: 543.0|
| Episode:  39 | Epsilon:  0.22 | Reward:  11.0 | Average Reward: 14.205 | Steps:   554| Total Reward: 554.0|
| Episode:  40 | Epsilon:  0.21 | Reward:  10.0 | Average Reward: 14.100 | Steps:   564| Total Reward: 564.0|
| Episode:  41 | Epsilon:  0.21 | Reward:  12.0 | Average Reward: 14.049 | Steps:   576| Total Reward: 576.0|
| Episode:  42 | Epsilon:  0.20 | Reward:   9.0 | Average Reward: 13.929 | Steps:   585| Total Reward: 585.0|
| Episode:  43 | Epsilon:  0.20 | Reward:  10.0 | Average Reward: 13.837 | Steps:   595| Total Reward: 595.0|
| Episode:  44 | Epsilon:  0.19 | Reward:  13.0 | Average Reward: 13.818 | Steps:   608| Total Reward: 608.0|
| Episode:  45 | Epsilon:  0.19 | Reward:   9.0 | Average Reward: 13.711 | Steps:   617| Total Reward: 617.0|
| Episode:  46 | Epsilon:  0.18 | Reward:   8.0 | Average Reward: 13.587 | Steps:   625| Total Reward: 625.0|
| Episode:  47 | Epsilon:  0.18 | Reward:   8.0 | Average Reward: 13.468 | Steps:   633| Total Reward: 633.0|
| Episode:  48 | Epsilon:  0.18 | Reward:  11.0 | Average Reward: 13.417 | Steps:   644| Total Reward: 644.0|
| Episode:  49 | Epsilon:  0.17 | Reward:  10.0 | Average Reward: 13.347 | Steps:   654| Total Reward: 654.0|
| Episode:  50 | Epsilon:  0.17 | Reward:   9.0 | Average Reward: 13.260 | Steps:   663| Total Reward: 663.0|
| Episode:  51 | Epsilon:  0.17 | Reward:  10.0 | Average Reward: 13.196 | Steps:   673| Total Reward: 673.0|
| Episode:  52 | Epsilon:  0.16 | Reward:   9.0 | Average Reward: 13.115 | Steps:   682| Total Reward: 682.0|
| Episode:  53 | Epsilon:  0.16 | Reward:  11.0 | Average Reward: 13.075 | Steps:   693| Total Reward: 693.0|
| Episode:  54 | Epsilon:  0.16 | Reward:  14.0 | Average Reward: 13.093 | Steps:   707| Total Reward: 707.0|
| Episode:  55 | Epsilon:  0.15 | Reward:   9.0 | Average Reward: 13.018 | Steps:   716| Total Reward: 716.0|
| Episode:  56 | Epsilon:  0.15 | Reward:   9.0 | Average Reward: 12.946 | Steps:   725| Total Reward: 725.0|
| Episode:  57 | Epsilon:  0.15 | Reward:  10.0 | Average Reward: 12.895 | Steps:   735| Total Reward: 735.0|
| Episode:  58 | Epsilon:  0.15 | Reward:   9.0 | Average Reward: 12.828 | Steps:   744| Total Reward: 744.0|
| Episode:  59 | Epsilon:  0.14 | Reward:  10.0 | Average Reward: 12.780 | Steps:   754| Total Reward: 754.0|
| Episode:  60 | Epsilon:  0.14 | Reward:  11.0 | Average Reward: 12.750 | Steps:   765| Total Reward: 765.0|
| Episode:  61 | Epsilon:  0.14 | Reward:  10.0 | Average Reward: 12.705 | Steps:   775| Total Reward: 775.0|
| Episode:  62 | Epsilon:  0.14 | Reward:  12.0 | Average Reward: 12.694 | Steps:   787| Total Reward: 787.0|
| Episode:  63 | Epsilon:  0.14 | Reward:   9.0 | Average Reward: 12.635 | Steps:   796| Total Reward: 796.0|
| Episode:  64 | Epsilon:  0.13 | Reward:  10.0 | Average Reward: 12.594 | Steps:   806| Total Reward: 806.0|
| Episode:  65 | Epsilon:  0.13 | Reward:   9.0 | Average Reward: 12.538 | Steps:   815| Total Reward: 815.0|
