| Episode:   1 | Epsilon:  0.90 | Reward:  10.0 | Average Reward: 10.000 | Steps:    10| Total Reward:  10.0|
| Episode:   2 | Epsilon:  0.86 | Reward:  12.0 | Average Reward: 11.000 | Steps:    22| Total Reward:  22.0|
| Episode:   3 | Epsilon:  0.82 | Reward:  14.0 | Average Reward: 12.000 | Steps:    36| Total Reward:  36.0|
| Episode:   4 | Epsilon:  0.79 | Reward:  18.0 | Average Reward: 13.500 | Steps:    54| Total Reward:  54.0|
| Episode:   5 | Epsilon:  0.75 | Reward:  15.0 | Average Reward: 13.800 | Steps:    69| Total Reward:  69.0|
| Episode:   6 | Epsilon:  0.72 | Reward:   9.0 | Average Reward: 13.000 | Steps:    78| Total Reward:  78.0|
| Episode:   7 | Epsilon:  0.69 | Reward:  14.0 | Average Reward: 13.143 | Steps:    92| Total Reward:  92.0|
| Episode:   8 | Epsilon:  0.66 | Reward:  14.0 | Average Reward: 13.250 | Steps:   106| Total Reward: 106.0|
| Episode:   9 | Epsilon:  0.64 | Reward:  11.0 | Average Reward: 13.000 | Steps:   117| Total Reward: 117.0|
| Episode:  10 | Epsilon:  0.61 | Reward:  25.0 | Average Reward: 14.200 | Steps:   142| Total Reward: 142.0|
| Episode:  11 | Epsilon:  0.59 | Reward:  24.0 | Average Reward: 15.091 | Steps:   166| Total Reward: 166.0|
| Episode:  12 | Epsilon:  0.56 | Reward:  20.0 | Average Reward: 15.500 | Steps:   186| Total Reward: 186.0|
| Episode:  13 | Epsilon:  0.54 | Reward:  11.0 | Average Reward: 15.154 | Steps:   197| Total Reward: 197.0|
| Episode:  14 | Epsilon:  0.52 | Reward:  15.0 | Average Reward: 15.143 | Steps:   212| Total Reward: 212.0|
| Episode:  15 | Epsilon:  0.50 | Reward:  10.0 | Average Reward: 14.800 | Steps:   222| Total Reward: 222.0|
| Episode:  16 | Epsilon:  0.48 | Reward:  12.0 | Average Reward: 14.625 | Steps:   234| Total Reward: 234.0|
| Episode:  17 | Epsilon:  0.46 | Reward:   8.0 | Average Reward: 14.235 | Steps:   242| Total Reward: 242.0|
| Episode:  18 | Epsilon:  0.44 | Reward:  10.0 | Average Reward: 14.000 | Steps:   252| Total Reward: 252.0|
