| Episode:   1 | Epsilon:  0.90 | Reward:  22.0 | Average Reward: 22.000 | Steps:    22 | Total Reward:  22.0|
| Episode:   2 | Epsilon:  0.86 | Reward:  22.0 | Average Reward: 22.000 | Steps:    44 | Total Reward:  44.0|
| Episode:   3 | Epsilon:  0.82 | Reward:  14.0 | Average Reward: 19.333 | Steps:    58 | Total Reward:  58.0|
| Episode:   4 | Epsilon:  0.79 | Reward:  16.0 | Average Reward: 18.500 | Steps:    74 | Total Reward:  74.0|
| Episode:   5 | Epsilon:  0.75 | Reward:  24.0 | Average Reward: 19.600 | Steps:    98 | Total Reward:  98.0|
| Episode:   6 | Epsilon:  0.72 | Reward:  14.0 | Average Reward: 18.667 | Steps:   112 | Total Reward: 112.0|
| Episode:   7 | Epsilon:  0.69 | Reward:  15.0 | Average Reward: 18.143 | Steps:   127 | Total Reward: 127.0|
| Episode:   8 | Epsilon:  0.66 | Reward:  29.0 | Average Reward: 19.500 | Steps:   156 | Total Reward: 156.0|
| Episode:   9 | Epsilon:  0.64 | Reward:  12.0 | Average Reward: 18.667 | Steps:   168 | Total Reward: 168.0|
| Episode:  10 | Epsilon:  0.61 | Reward:  13.0 | Average Reward: 18.100 | Steps:   181 | Total Reward: 181.0|
| Episode:  11 | Epsilon:  0.59 | Reward:  13.0 | Average Reward: 17.636 | Steps:   194 | Total Reward: 194.0|
| Episode:  12 | Epsilon:  0.56 | Reward:  21.0 | Average Reward: 17.917 | Steps:   215 | Total Reward: 215.0|
| Episode:  13 | Epsilon:  0.54 | Reward:   8.0 | Average Reward: 17.154 | Steps:   223 | Total Reward: 223.0|
| Episode:  14 | Epsilon:  0.52 | Reward:  11.0 | Average Reward: 16.714 | Steps:   234 | Total Reward: 234.0|
| Episode:  15 | Epsilon:  0.50 | Reward:   9.0 | Average Reward: 16.200 | Steps:   243 | Total Reward: 243.0|
| Episode:  16 | Epsilon:  0.48 | Reward:   9.0 | Average Reward: 15.750 | Steps:   252 | Total Reward: 252.0|
| Episode:  17 | Epsilon:  0.46 | Reward:  10.0 | Average Reward: 15.412 | Steps:   262 | Total Reward: 262.0|
| Episode:  18 | Epsilon:  0.44 | Reward:  23.0 | Average Reward: 15.833 | Steps:   285 | Total Reward: 285.0|
| Episode:  19 | Epsilon:  0.43 | Reward:  15.0 | Average Reward: 15.789 | Steps:   300 | Total Reward: 300.0|
| Episode:  20 | Epsilon:  0.41 | Reward:   9.0 | Average Reward: 15.450 | Steps:   309 | Total Reward: 309.0|
| Episode:  21 | Epsilon:  0.39 | Reward:  11.0 | Average Reward: 15.238 | Steps:   320 | Total Reward: 320.0|
| Episode:  22 | Epsilon:  0.38 | Reward:  15.0 | Average Reward: 15.227 | Steps:   335 | Total Reward: 335.0|
| Episode:  23 | Epsilon:  0.37 | Reward:  10.0 | Average Reward: 15.000 | Steps:   345 | Total Reward: 345.0|
| Episode:  24 | Epsilon:  0.35 | Reward:  12.0 | Average Reward: 14.875 | Steps:   357 | Total Reward: 357.0|
| Episode:  25 | Epsilon:  0.34 | Reward:  23.0 | Average Reward: 15.200 | Steps:   380 | Total Reward: 380.0|
| Episode:  26 | Epsilon:  0.33 | Reward:  12.0 | Average Reward: 15.077 | Steps:   392 | Total Reward: 392.0|
| Episode:  27 | Epsilon:  0.32 | Reward:  10.0 | Average Reward: 14.889 | Steps:   402 | Total Reward: 402.0|
| Episode:  28 | Epsilon:  0.31 | Reward:  10.0 | Average Reward: 14.714 | Steps:   412 | Total Reward: 412.0|
| Episode:  29 | Epsilon:  0.30 | Reward:  12.0 | Average Reward: 14.621 | Steps:   424 | Total Reward: 424.0|
| Episode:  30 | Epsilon:  0.29 | Reward:  21.0 | Average Reward: 14.833 | Steps:   445 | Total Reward: 445.0|
