| Episode:   1 | Epsilon:  0.90 | Reward:  14.0 | Average Reward: 14.000 | Steps:    14 | Total Reward:  14.0|
| Episode:   2 | Epsilon:  0.86 | Reward:  44.0 | Average Reward: 29.000 | Steps:    58 | Total Reward:  58.0|
| Episode:   3 | Epsilon:  0.82 | Reward:  13.0 | Average Reward: 23.667 | Steps:    71 | Total Reward:  71.0|
| Episode:   4 | Epsilon:  0.79 | Reward:  24.0 | Average Reward: 23.750 | Steps:    95 | Total Reward:  95.0|
| Episode:   5 | Epsilon:  0.75 | Reward:  14.0 | Average Reward: 21.800 | Steps:   109 | Total Reward: 109.0|
| Episode:   6 | Epsilon:  0.72 | Reward:  19.0 | Average Reward: 21.333 | Steps:   128 | Total Reward: 128.0|
| Episode:   7 | Epsilon:  0.69 | Reward:  17.0 | Average Reward: 20.714 | Steps:   145 | Total Reward: 145.0|
| Episode:   8 | Epsilon:  0.66 | Reward:  10.0 | Average Reward: 19.375 | Steps:   155 | Total Reward: 155.0|
| Episode:   9 | Epsilon:  0.64 | Reward:  14.0 | Average Reward: 18.778 | Steps:   169 | Total Reward: 169.0|
| Episode:  10 | Epsilon:  0.61 | Reward:  15.0 | Average Reward: 18.400 | Steps:   184 | Total Reward: 184.0|
| Episode:  11 | Epsilon:  0.59 | Reward:  11.0 | Average Reward: 17.727 | Steps:   195 | Total Reward: 195.0|
| Episode:  12 | Epsilon:  0.56 | Reward:   8.0 | Average Reward: 16.917 | Steps:   203 | Total Reward: 203.0|
| Episode:  13 | Epsilon:  0.54 | Reward:  19.0 | Average Reward: 17.077 | Steps:   222 | Total Reward: 222.0|
| Episode:  14 | Epsilon:  0.52 | Reward:  11.0 | Average Reward: 16.643 | Steps:   233 | Total Reward: 233.0|
| Episode:  15 | Epsilon:  0.50 | Reward:  10.0 | Average Reward: 16.200 | Steps:   243 | Total Reward: 243.0|
| Episode:  16 | Epsilon:  0.48 | Reward:  14.0 | Average Reward: 16.062 | Steps:   257 | Total Reward: 257.0|
| Episode:  17 | Epsilon:  0.46 | Reward:  11.0 | Average Reward: 15.765 | Steps:   268 | Total Reward: 268.0|
| Episode:  18 | Epsilon:  0.44 | Reward:  12.0 | Average Reward: 15.556 | Steps:   280 | Total Reward: 280.0|
| Episode:  19 | Epsilon:  0.43 | Reward:  10.0 | Average Reward: 15.263 | Steps:   290 | Total Reward: 290.0|
| Episode:  20 | Epsilon:  0.41 | Reward:  12.0 | Average Reward: 15.100 | Steps:   302 | Total Reward: 302.0|
| Episode:  21 | Epsilon:  0.39 | Reward:  19.0 | Average Reward: 15.286 | Steps:   321 | Total Reward: 321.0|
| Episode:  22 | Epsilon:  0.38 | Reward:  11.0 | Average Reward: 15.091 | Steps:   332 | Total Reward: 332.0|
| Episode:  23 | Epsilon:  0.37 | Reward:  11.0 | Average Reward: 14.913 | Steps:   343 | Total Reward: 343.0|
| Episode:  24 | Epsilon:  0.35 | Reward:  19.0 | Average Reward: 15.083 | Steps:   362 | Total Reward: 362.0|
| Episode:  25 | Epsilon:  0.34 | Reward:  11.0 | Average Reward: 14.920 | Steps:   373 | Total Reward: 373.0|
| Episode:  26 | Epsilon:  0.33 | Reward:  10.0 | Average Reward: 14.731 | Steps:   383 | Total Reward: 383.0|
| Episode:  27 | Epsilon:  0.32 | Reward:  15.0 | Average Reward: 14.741 | Steps:   398 | Total Reward: 398.0|
| Episode:  28 | Epsilon:  0.31 | Reward:  12.0 | Average Reward: 14.643 | Steps:   410 | Total Reward: 410.0|
| Episode:  29 | Epsilon:  0.30 | Reward:  10.0 | Average Reward: 14.483 | Steps:   420 | Total Reward: 420.0|
| Episode:  30 | Epsilon:  0.29 | Reward:  12.0 | Average Reward: 14.400 | Steps:   432 | Total Reward: 432.0|
| Episode:  31 | Epsilon:  0.28 | Reward:  12.0 | Average Reward: 14.323 | Steps:   444 | Total Reward: 444.0|
| Episode:  32 | Epsilon:  0.27 | Reward:   9.0 | Average Reward: 14.156 | Steps:   453 | Total Reward: 453.0|
| Episode:  33 | Epsilon:  0.26 | Reward:  14.0 | Average Reward: 14.152 | Steps:   467 | Total Reward: 467.0|
| Episode:  34 | Epsilon:  0.25 | Reward:   9.0 | Average Reward: 14.000 | Steps:   476 | Total Reward: 476.0|
| Episode:  35 | Epsilon:  0.25 | Reward:  10.0 | Average Reward: 13.886 | Steps:   486 | Total Reward: 486.0|
| Episode:  36 | Epsilon:  0.24 | Reward:  10.0 | Average Reward: 13.778 | Steps:   496 | Total Reward: 496.0|
| Episode:  37 | Epsilon:  0.23 | Reward:  11.0 | Average Reward: 13.703 | Steps:   507 | Total Reward: 507.0|
| Episode:  38 | Epsilon:  0.23 | Reward:  11.0 | Average Reward: 13.632 | Steps:   518 | Total Reward: 518.0|
| Episode:  39 | Epsilon:  0.22 | Reward:  11.0 | Average Reward: 13.564 | Steps:   529 | Total Reward: 529.0|
| Episode:  40 | Epsilon:  0.21 | Reward:  12.0 | Average Reward: 13.525 | Steps:   541 | Total Reward: 541.0|
| Episode:  41 | Epsilon:  0.21 | Reward:  11.0 | Average Reward: 13.463 | Steps:   552 | Total Reward: 552.0|
| Episode:  42 | Epsilon:  0.20 | Reward:  12.0 | Average Reward: 13.429 | Steps:   564 | Total Reward: 564.0|
| Episode:  43 | Epsilon:  0.20 | Reward:  12.0 | Average Reward: 13.395 | Steps:   576 | Total Reward: 576.0|
| Episode:  44 | Epsilon:  0.19 | Reward:   9.0 | Average Reward: 13.295 | Steps:   585 | Total Reward: 585.0|
| Episode:  45 | Epsilon:  0.19 | Reward:   8.0 | Average Reward: 13.178 | Steps:   593 | Total Reward: 593.0|
| Episode:  46 | Epsilon:  0.18 | Reward:   9.0 | Average Reward: 13.087 | Steps:   602 | Total Reward: 602.0|
| Episode:  47 | Epsilon:  0.18 | Reward:  10.0 | Average Reward: 13.021 | Steps:   612 | Total Reward: 612.0|
| Episode:  48 | Epsilon:  0.18 | Reward:  10.0 | Average Reward: 12.958 | Steps:   622 | Total Reward: 622.0|
| Episode:  49 | Epsilon:  0.17 | Reward:  11.0 | Average Reward: 12.918 | Steps:   633 | Total Reward: 633.0|
| Episode:  50 | Epsilon:  0.17 | Reward:  12.0 | Average Reward: 12.900 | Steps:   645 | Total Reward: 645.0|
| Episode:  51 | Epsilon:  0.17 | Reward:  13.0 | Average Reward: 12.902 | Steps:   658 | Total Reward: 658.0|
| Episode:  52 | Epsilon:  0.16 | Reward:  10.0 | Average Reward: 12.846 | Steps:   668 | Total Reward: 668.0|
| Episode:  53 | Epsilon:  0.16 | Reward:   8.0 | Average Reward: 12.755 | Steps:   676 | Total Reward: 676.0|
| Episode:  54 | Epsilon:  0.16 | Reward:  10.0 | Average Reward: 12.704 | Steps:   686 | Total Reward: 686.0|
