| Episode:   1 | Epsilon:  0.90 | Reward:  14.0 | Average Reward: 14.000 | Steps:    14 | Total Reward:  14.0|
| Episode:   2 | Epsilon:  0.86 | Reward:  21.0 | Average Reward: 17.500 | Steps:    35 | Total Reward:  35.0|
| Episode:   3 | Epsilon:  0.82 | Reward:  13.0 | Average Reward: 16.000 | Steps:    48 | Total Reward:  48.0|
| Episode:   4 | Epsilon:  0.79 | Reward:  21.0 | Average Reward: 17.250 | Steps:    69 | Total Reward:  69.0|
| Episode:   5 | Epsilon:  0.75 | Reward:  41.0 | Average Reward: 22.000 | Steps:   110 | Total Reward: 110.0|
| Episode:   6 | Epsilon:  0.72 | Reward:  36.0 | Average Reward: 24.333 | Steps:   146 | Total Reward: 146.0|
| Episode:   7 | Epsilon:  0.69 | Reward:  21.0 | Average Reward: 23.857 | Steps:   167 | Total Reward: 167.0|
| Episode:   8 | Epsilon:  0.66 | Reward:   9.0 | Average Reward: 22.000 | Steps:   176 | Total Reward: 176.0|
| Episode:   9 | Epsilon:  0.64 | Reward:  18.0 | Average Reward: 21.556 | Steps:   194 | Total Reward: 194.0|
| Episode:  10 | Epsilon:  0.61 | Reward:  14.0 | Average Reward: 20.800 | Steps:   208 | Total Reward: 208.0|
| Episode:  11 | Epsilon:  0.59 | Reward:  20.0 | Average Reward: 20.727 | Steps:   228 | Total Reward: 228.0|
| Episode:  12 | Epsilon:  0.56 | Reward:  12.0 | Average Reward: 20.000 | Steps:   240 | Total Reward: 240.0|
| Episode:  13 | Epsilon:  0.54 | Reward:  12.0 | Average Reward: 19.385 | Steps:   252 | Total Reward: 252.0|
| Episode:  14 | Epsilon:  0.52 | Reward:  10.0 | Average Reward: 18.714 | Steps:   262 | Total Reward: 262.0|
| Episode:  15 | Epsilon:  0.50 | Reward:  16.0 | Average Reward: 18.533 | Steps:   278 | Total Reward: 278.0|
| Episode:  16 | Epsilon:  0.48 | Reward:   9.0 | Average Reward: 17.938 | Steps:   287 | Total Reward: 287.0|
| Episode:  17 | Epsilon:  0.46 | Reward:  15.0 | Average Reward: 17.765 | Steps:   302 | Total Reward: 302.0|
| Episode:  18 | Epsilon:  0.44 | Reward:  14.0 | Average Reward: 17.556 | Steps:   316 | Total Reward: 316.0|
| Episode:  19 | Epsilon:  0.43 | Reward:  14.0 | Average Reward: 17.368 | Steps:   330 | Total Reward: 330.0|
| Episode:  20 | Epsilon:  0.41 | Reward:  10.0 | Average Reward: 17.000 | Steps:   340 | Total Reward: 340.0|
| Episode:  21 | Epsilon:  0.39 | Reward:   9.0 | Average Reward: 16.619 | Steps:   349 | Total Reward: 349.0|
| Episode:  22 | Epsilon:  0.38 | Reward:   9.0 | Average Reward: 16.273 | Steps:   358 | Total Reward: 358.0|
| Episode:  23 | Epsilon:  0.37 | Reward:  12.0 | Average Reward: 16.087 | Steps:   370 | Total Reward: 370.0|
| Episode:  24 | Epsilon:  0.35 | Reward:  11.0 | Average Reward: 15.875 | Steps:   381 | Total Reward: 381.0|
| Episode:  25 | Epsilon:  0.34 | Reward:  15.0 | Average Reward: 15.840 | Steps:   396 | Total Reward: 396.0|
| Episode:  26 | Epsilon:  0.33 | Reward:   9.0 | Average Reward: 15.577 | Steps:   405 | Total Reward: 405.0|
| Episode:  27 | Epsilon:  0.32 | Reward:  11.0 | Average Reward: 15.407 | Steps:   416 | Total Reward: 416.0|
| Episode:  28 | Epsilon:  0.31 | Reward:  10.0 | Average Reward: 15.214 | Steps:   426 | Total Reward: 426.0|
| Episode:  29 | Epsilon:  0.30 | Reward:  11.0 | Average Reward: 15.069 | Steps:   437 | Total Reward: 437.0|
| Episode:  30 | Epsilon:  0.29 | Reward:  12.0 | Average Reward: 14.967 | Steps:   449 | Total Reward: 449.0|
| Episode:  31 | Epsilon:  0.28 | Reward:  12.0 | Average Reward: 14.871 | Steps:   461 | Total Reward: 461.0|
| Episode:  32 | Epsilon:  0.27 | Reward:  10.0 | Average Reward: 14.719 | Steps:   471 | Total Reward: 471.0|
| Episode:  33 | Epsilon:  0.26 | Reward:  10.0 | Average Reward: 14.576 | Steps:   481 | Total Reward: 481.0|
| Episode:  34 | Epsilon:  0.25 | Reward:   9.0 | Average Reward: 14.412 | Steps:   490 | Total Reward: 490.0|
| Episode:  35 | Epsilon:  0.25 | Reward:  17.0 | Average Reward: 14.486 | Steps:   507 | Total Reward: 507.0|
| Episode:  36 | Epsilon:  0.24 | Reward:  10.0 | Average Reward: 14.361 | Steps:   517 | Total Reward: 517.0|
| Episode:  37 | Epsilon:  0.23 | Reward:   9.0 | Average Reward: 14.216 | Steps:   526 | Total Reward: 526.0|
| Episode:  38 | Epsilon:  0.23 | Reward:  12.0 | Average Reward: 14.158 | Steps:   538 | Total Reward: 538.0|
| Episode:  39 | Epsilon:  0.22 | Reward:  10.0 | Average Reward: 14.051 | Steps:   548 | Total Reward: 548.0|
| Episode:  40 | Epsilon:  0.21 | Reward:  15.0 | Average Reward: 14.075 | Steps:   563 | Total Reward: 563.0|
