| Episode:   1 | Epsilon:  0.90 | Reward:  14.0 | Average Reward: 14.000 | Steps:    14 | Total Reward:  14.0|
| Episode:   2 | Epsilon:  0.86 | Reward:  23.0 | Average Reward: 18.500 | Steps:    37 | Total Reward:  37.0|
| Episode:   3 | Epsilon:  0.82 | Reward:  20.0 | Average Reward: 19.000 | Steps:    57 | Total Reward:  57.0|
| Episode:   4 | Epsilon:  0.79 | Reward:  31.0 | Average Reward: 22.000 | Steps:    88 | Total Reward:  88.0|
| Episode:   5 | Epsilon:  0.75 | Reward:  20.0 | Average Reward: 21.600 | Steps:   108 | Total Reward: 108.0|
| Episode:   6 | Epsilon:  0.72 | Reward:  28.0 | Average Reward: 22.667 | Steps:   136 | Total Reward: 136.0|
| Episode:   7 | Epsilon:  0.69 | Reward:  44.0 | Average Reward: 25.714 | Steps:   180 | Total Reward: 180.0|
| Episode:   8 | Epsilon:  0.66 | Reward:  13.0 | Average Reward: 24.125 | Steps:   193 | Total Reward: 193.0|
| Episode:   9 | Epsilon:  0.64 | Reward:  13.0 | Average Reward: 22.889 | Steps:   206 | Total Reward: 206.0|
| Episode:  10 | Epsilon:  0.61 | Reward:  12.0 | Average Reward: 21.800 | Steps:   218 | Total Reward: 218.0|
| Episode:  11 | Epsilon:  0.59 | Reward:   9.0 | Average Reward: 20.636 | Steps:   227 | Total Reward: 227.0|
| Episode:  12 | Epsilon:  0.56 | Reward:  16.0 | Average Reward: 20.250 | Steps:   243 | Total Reward: 243.0|
| Episode:  13 | Epsilon:  0.54 | Reward:  21.0 | Average Reward: 20.308 | Steps:   264 | Total Reward: 264.0|
| Episode:  14 | Epsilon:  0.52 | Reward:  17.0 | Average Reward: 20.071 | Steps:   281 | Total Reward: 281.0|
| Episode:  15 | Epsilon:  0.50 | Reward:  21.0 | Average Reward: 20.133 | Steps:   302 | Total Reward: 302.0|
| Episode:  16 | Epsilon:  0.48 | Reward:   9.0 | Average Reward: 19.438 | Steps:   311 | Total Reward: 311.0|
| Episode:  17 | Epsilon:  0.46 | Reward:  10.0 | Average Reward: 18.882 | Steps:   321 | Total Reward: 321.0|
| Episode:  18 | Epsilon:  0.44 | Reward:  12.0 | Average Reward: 18.500 | Steps:   333 | Total Reward: 333.0|
| Episode:  19 | Epsilon:  0.43 | Reward:  13.0 | Average Reward: 18.211 | Steps:   346 | Total Reward: 346.0|
| Episode:  20 | Epsilon:  0.41 | Reward:  13.0 | Average Reward: 17.950 | Steps:   359 | Total Reward: 359.0|
| Episode:  21 | Epsilon:  0.39 | Reward:  13.0 | Average Reward: 17.714 | Steps:   372 | Total Reward: 372.0|
| Episode:  22 | Epsilon:  0.38 | Reward:  10.0 | Average Reward: 17.364 | Steps:   382 | Total Reward: 382.0|
| Episode:  23 | Epsilon:  0.37 | Reward:  10.0 | Average Reward: 17.043 | Steps:   392 | Total Reward: 392.0|
| Episode:  24 | Epsilon:  0.35 | Reward:  13.0 | Average Reward: 16.875 | Steps:   405 | Total Reward: 405.0|
| Episode:  25 | Epsilon:  0.34 | Reward:  11.0 | Average Reward: 16.640 | Steps:   416 | Total Reward: 416.0|
| Episode:  26 | Epsilon:  0.33 | Reward:   9.0 | Average Reward: 16.346 | Steps:   425 | Total Reward: 425.0|
| Episode:  27 | Epsilon:  0.32 | Reward:  14.0 | Average Reward: 16.259 | Steps:   439 | Total Reward: 439.0|
| Episode:  28 | Epsilon:  0.31 | Reward:  10.0 | Average Reward: 16.036 | Steps:   449 | Total Reward: 449.0|
| Episode:  29 | Epsilon:  0.30 | Reward:  13.0 | Average Reward: 15.931 | Steps:   462 | Total Reward: 462.0|
| Episode:  30 | Epsilon:  0.29 | Reward:  10.0 | Average Reward: 15.733 | Steps:   472 | Total Reward: 472.0|
| Episode:  31 | Epsilon:  0.28 | Reward:  13.0 | Average Reward: 15.645 | Steps:   485 | Total Reward: 485.0|
| Episode:  32 | Epsilon:  0.27 | Reward:  10.0 | Average Reward: 15.469 | Steps:   495 | Total Reward: 495.0|
