| Episode:   1 | Epsilon:  0.90 | Reward:  60.0 | Average Reward: 60.000 | Steps:    60 | Total Reward:  60.0|
| Episode:   2 | Epsilon:  0.86 | Reward:  15.0 | Average Reward: 37.500 | Steps:    75 | Total Reward:  75.0|
| Episode:   3 | Epsilon:  0.82 | Reward:  52.0 | Average Reward: 42.333 | Steps:   127 | Total Reward: 127.0|
| Episode:   4 | Epsilon:  0.79 | Reward:  22.0 | Average Reward: 37.250 | Steps:   149 | Total Reward: 149.0|
| Episode:   5 | Epsilon:  0.75 | Reward:  15.0 | Average Reward: 32.800 | Steps:   164 | Total Reward: 164.0|
| Episode:   6 | Epsilon:  0.72 | Reward:  56.0 | Average Reward: 36.667 | Steps:   220 | Total Reward: 220.0|
| Episode:   7 | Epsilon:  0.69 | Reward:  15.0 | Average Reward: 33.571 | Steps:   235 | Total Reward: 235.0|
| Episode:   8 | Epsilon:  0.66 | Reward:  14.0 | Average Reward: 31.125 | Steps:   249 | Total Reward: 249.0|
| Episode:   9 | Epsilon:  0.64 | Reward:  11.0 | Average Reward: 28.889 | Steps:   260 | Total Reward: 260.0|
| Episode:  10 | Epsilon:  0.61 | Reward:   9.0 | Average Reward: 26.900 | Steps:   269 | Total Reward: 269.0|
| Episode:  11 | Epsilon:  0.59 | Reward:  16.0 | Average Reward: 25.909 | Steps:   285 | Total Reward: 285.0|
| Episode:  12 | Epsilon:  0.56 | Reward:  10.0 | Average Reward: 24.583 | Steps:   295 | Total Reward: 295.0|
| Episode:  13 | Epsilon:  0.54 | Reward:  11.0 | Average Reward: 23.538 | Steps:   306 | Total Reward: 306.0|
| Episode:  14 | Epsilon:  0.52 | Reward:   9.0 | Average Reward: 22.500 | Steps:   315 | Total Reward: 315.0|
| Episode:  15 | Epsilon:  0.50 | Reward:  12.0 | Average Reward: 21.800 | Steps:   327 | Total Reward: 327.0|
| Episode:  16 | Epsilon:  0.48 | Reward:  18.0 | Average Reward: 21.562 | Steps:   345 | Total Reward: 345.0|
| Episode:  17 | Epsilon:  0.46 | Reward:  14.0 | Average Reward: 21.118 | Steps:   359 | Total Reward: 359.0|
| Episode:  18 | Epsilon:  0.44 | Reward:  12.0 | Average Reward: 20.611 | Steps:   371 | Total Reward: 371.0|
| Episode:  19 | Epsilon:  0.43 | Reward:  11.0 | Average Reward: 20.105 | Steps:   382 | Total Reward: 382.0|
| Episode:  20 | Epsilon:  0.41 | Reward:  12.0 | Average Reward: 19.700 | Steps:   394 | Total Reward: 394.0|
| Episode:  21 | Epsilon:  0.39 | Reward:   9.0 | Average Reward: 19.190 | Steps:   403 | Total Reward: 403.0|
| Episode:  22 | Epsilon:  0.38 | Reward:  13.0 | Average Reward: 18.909 | Steps:   416 | Total Reward: 416.0|
| Episode:  23 | Epsilon:  0.37 | Reward:  11.0 | Average Reward: 18.565 | Steps:   427 | Total Reward: 427.0|
| Episode:  24 | Epsilon:  0.35 | Reward:  19.0 | Average Reward: 18.583 | Steps:   446 | Total Reward: 446.0|
| Episode:  25 | Epsilon:  0.34 | Reward:  10.0 | Average Reward: 18.240 | Steps:   456 | Total Reward: 456.0|
| Episode:  26 | Epsilon:  0.33 | Reward:  10.0 | Average Reward: 17.923 | Steps:   466 | Total Reward: 466.0|
| Episode:  27 | Epsilon:  0.32 | Reward:  15.0 | Average Reward: 17.815 | Steps:   481 | Total Reward: 481.0|
| Episode:  28 | Epsilon:  0.31 | Reward:  10.0 | Average Reward: 17.536 | Steps:   491 | Total Reward: 491.0|
