| Episode:   1 | Epsilon:  0.90 | Reward:  16.0 | Average Reward: 16.000 | Steps:    16 | Total Reward:  16.0|
| Episode:   2 | Epsilon:  0.86 | Reward:  14.0 | Average Reward: 15.000 | Steps:    30 | Total Reward:  30.0|
| Episode:   3 | Epsilon:  0.82 | Reward:  18.0 | Average Reward: 16.000 | Steps:    48 | Total Reward:  48.0|
| Episode:   4 | Epsilon:  0.79 | Reward:  28.0 | Average Reward: 19.000 | Steps:    76 | Total Reward:  76.0|
| Episode:   5 | Epsilon:  0.75 | Reward:  16.0 | Average Reward: 18.400 | Steps:    92 | Total Reward:  92.0|
| Episode:   6 | Epsilon:  0.72 | Reward:  15.0 | Average Reward: 17.833 | Steps:   107 | Total Reward: 107.0|
| Episode:   7 | Epsilon:  0.69 | Reward:  20.0 | Average Reward: 18.143 | Steps:   127 | Total Reward: 127.0|
| Episode:   8 | Epsilon:  0.66 | Reward:  33.0 | Average Reward: 20.000 | Steps:   160 | Total Reward: 160.0|
| Episode:   9 | Epsilon:  0.64 | Reward:  14.0 | Average Reward: 19.333 | Steps:   174 | Total Reward: 174.0|
| Episode:  10 | Epsilon:  0.61 | Reward:  10.0 | Average Reward: 18.400 | Steps:   184 | Total Reward: 184.0|
| Episode:  11 | Epsilon:  0.59 | Reward:  25.0 | Average Reward: 19.000 | Steps:   209 | Total Reward: 209.0|
| Episode:  12 | Epsilon:  0.56 | Reward:   9.0 | Average Reward: 18.167 | Steps:   218 | Total Reward: 218.0|
| Episode:  13 | Epsilon:  0.54 | Reward:  10.0 | Average Reward: 17.538 | Steps:   228 | Total Reward: 228.0|
| Episode:  14 | Epsilon:  0.52 | Reward:   9.0 | Average Reward: 16.929 | Steps:   237 | Total Reward: 237.0|
| Episode:  15 | Epsilon:  0.50 | Reward:   9.0 | Average Reward: 16.400 | Steps:   246 | Total Reward: 246.0|
| Episode:  16 | Epsilon:  0.48 | Reward:  14.0 | Average Reward: 16.250 | Steps:   260 | Total Reward: 260.0|
| Episode:  17 | Epsilon:  0.46 | Reward:   9.0 | Average Reward: 15.824 | Steps:   269 | Total Reward: 269.0|
| Episode:  18 | Epsilon:  0.44 | Reward:  10.0 | Average Reward: 15.500 | Steps:   279 | Total Reward: 279.0|
| Episode:  19 | Epsilon:  0.43 | Reward:   9.0 | Average Reward: 15.158 | Steps:   288 | Total Reward: 288.0|
| Episode:  20 | Epsilon:  0.41 | Reward:   9.0 | Average Reward: 14.850 | Steps:   297 | Total Reward: 297.0|
| Episode:  21 | Epsilon:  0.39 | Reward:  10.0 | Average Reward: 14.619 | Steps:   307 | Total Reward: 307.0|
