| Episode:   1 | Epsilon:  0.90 | Reward:  12.0 | Average Reward: 12.000 | Steps:    12 | Total Reward:  12.0|
| Episode:   2 | Epsilon:  0.86 | Reward:  12.0 | Average Reward: 12.000 | Steps:    24 | Total Reward:  24.0|
| Episode:   3 | Epsilon:  0.82 | Reward:  17.0 | Average Reward: 13.667 | Steps:    41 | Total Reward:  41.0|
| Episode:   4 | Epsilon:  0.79 | Reward:  14.0 | Average Reward: 13.750 | Steps:    55 | Total Reward:  55.0|
| Episode:   5 | Epsilon:  0.75 | Reward:  11.0 | Average Reward: 13.200 | Steps:    66 | Total Reward:  66.0|
| Episode:   6 | Epsilon:  0.72 | Reward:  21.0 | Average Reward: 14.500 | Steps:    87 | Total Reward:  87.0|
| Episode:   7 | Epsilon:  0.69 | Reward:  26.0 | Average Reward: 16.143 | Steps:   113 | Total Reward: 113.0|
| Episode:   8 | Epsilon:  0.66 | Reward:  13.0 | Average Reward: 15.750 | Steps:   126 | Total Reward: 126.0|
| Episode:   9 | Epsilon:  0.64 | Reward:  13.0 | Average Reward: 15.444 | Steps:   139 | Total Reward: 139.0|
| Episode:  10 | Epsilon:  0.61 | Reward:  13.0 | Average Reward: 15.200 | Steps:   152 | Total Reward: 152.0|
| Episode:  11 | Epsilon:  0.59 | Reward:  31.0 | Average Reward: 16.636 | Steps:   183 | Total Reward: 183.0|
| Episode:  12 | Epsilon:  0.56 | Reward:  14.0 | Average Reward: 16.417 | Steps:   197 | Total Reward: 197.0|
| Episode:  13 | Epsilon:  0.54 | Reward:  11.0 | Average Reward: 16.000 | Steps:   208 | Total Reward: 208.0|
| Episode:  14 | Epsilon:  0.52 | Reward:  10.0 | Average Reward: 15.571 | Steps:   218 | Total Reward: 218.0|
| Episode:  15 | Epsilon:  0.50 | Reward:  13.0 | Average Reward: 15.400 | Steps:   231 | Total Reward: 231.0|
| Episode:  16 | Epsilon:  0.48 | Reward:  15.0 | Average Reward: 15.375 | Steps:   246 | Total Reward: 246.0|
| Episode:  17 | Epsilon:  0.46 | Reward:  13.0 | Average Reward: 15.235 | Steps:   259 | Total Reward: 259.0|
| Episode:  18 | Epsilon:  0.44 | Reward:   9.0 | Average Reward: 14.889 | Steps:   268 | Total Reward: 268.0|
| Episode:  19 | Epsilon:  0.43 | Reward:  16.0 | Average Reward: 14.947 | Steps:   284 | Total Reward: 284.0|
| Episode:  20 | Epsilon:  0.41 | Reward:  13.0 | Average Reward: 14.850 | Steps:   297 | Total Reward: 297.0|
| Episode:  21 | Epsilon:  0.39 | Reward:  10.0 | Average Reward: 14.619 | Steps:   307 | Total Reward: 307.0|
| Episode:  22 | Epsilon:  0.38 | Reward:  10.0 | Average Reward: 14.409 | Steps:   317 | Total Reward: 317.0|
| Episode:  23 | Epsilon:  0.37 | Reward:  14.0 | Average Reward: 14.391 | Steps:   331 | Total Reward: 331.0|
| Episode:  24 | Epsilon:  0.35 | Reward:  11.0 | Average Reward: 14.250 | Steps:   342 | Total Reward: 342.0|
| Episode:  25 | Epsilon:  0.34 | Reward:  10.0 | Average Reward: 14.080 | Steps:   352 | Total Reward: 352.0|
| Episode:  26 | Epsilon:  0.33 | Reward:   9.0 | Average Reward: 13.885 | Steps:   361 | Total Reward: 361.0|
| Episode:  27 | Epsilon:  0.32 | Reward:  10.0 | Average Reward: 13.741 | Steps:   371 | Total Reward: 371.0|
| Episode:  28 | Epsilon:  0.31 | Reward:  10.0 | Average Reward: 13.607 | Steps:   381 | Total Reward: 381.0|
| Episode:  29 | Epsilon:  0.30 | Reward:  10.0 | Average Reward: 13.483 | Steps:   391 | Total Reward: 391.0|
| Episode:  30 | Epsilon:  0.29 | Reward:   8.0 | Average Reward: 13.300 | Steps:   399 | Total Reward: 399.0|
| Episode:  31 | Epsilon:  0.28 | Reward:  10.0 | Average Reward: 13.194 | Steps:   409 | Total Reward: 409.0|
| Episode:  32 | Epsilon:  0.27 | Reward:  12.0 | Average Reward: 13.156 | Steps:   421 | Total Reward: 421.0|
| Episode:  33 | Epsilon:  0.26 | Reward:  10.0 | Average Reward: 13.061 | Steps:   431 | Total Reward: 431.0|
| Episode:  34 | Epsilon:  0.25 | Reward:  17.0 | Average Reward: 13.176 | Steps:   448 | Total Reward: 448.0|
| Episode:  35 | Epsilon:  0.25 | Reward:  10.0 | Average Reward: 13.086 | Steps:   458 | Total Reward: 458.0|
| Episode:  36 | Epsilon:  0.24 | Reward:  11.0 | Average Reward: 13.028 | Steps:   469 | Total Reward: 469.0|
| Episode:  37 | Epsilon:  0.23 | Reward:  10.0 | Average Reward: 12.946 | Steps:   479 | Total Reward: 479.0|
| Episode:  38 | Epsilon:  0.23 | Reward:  11.0 | Average Reward: 12.895 | Steps:   490 | Total Reward: 490.0|
| Episode:  39 | Epsilon:  0.22 | Reward:  14.0 | Average Reward: 12.923 | Steps:   504 | Total Reward: 504.0|
| Episode:  40 | Epsilon:  0.21 | Reward:  11.0 | Average Reward: 12.875 | Steps:   515 | Total Reward: 515.0|
| Episode:  41 | Epsilon:  0.21 | Reward:  14.0 | Average Reward: 12.902 | Steps:   529 | Total Reward: 529.0|
| Episode:  42 | Epsilon:  0.20 | Reward:  10.0 | Average Reward: 12.833 | Steps:   539 | Total Reward: 539.0|
| Episode:  43 | Epsilon:  0.20 | Reward:  12.0 | Average Reward: 12.814 | Steps:   551 | Total Reward: 551.0|
| Episode:  44 | Epsilon:  0.19 | Reward:   9.0 | Average Reward: 12.727 | Steps:   560 | Total Reward: 560.0|
| Episode:  45 | Epsilon:  0.19 | Reward:   9.0 | Average Reward: 12.644 | Steps:   569 | Total Reward: 569.0|
| Episode:  46 | Epsilon:  0.18 | Reward:   8.0 | Average Reward: 12.543 | Steps:   577 | Total Reward: 577.0|
| Episode:  47 | Epsilon:  0.18 | Reward:   9.0 | Average Reward: 12.468 | Steps:   586 | Total Reward: 586.0|
| Episode:  48 | Epsilon:  0.18 | Reward:   8.0 | Average Reward: 12.375 | Steps:   594 | Total Reward: 594.0|
| Episode:  49 | Epsilon:  0.17 | Reward:  10.0 | Average Reward: 12.327 | Steps:   604 | Total Reward: 604.0|
| Episode:  50 | Epsilon:  0.17 | Reward:  12.0 | Average Reward: 12.320 | Steps:   616 | Total Reward: 616.0|
| Episode:  51 | Epsilon:  0.17 | Reward:   8.0 | Average Reward: 12.235 | Steps:   624 | Total Reward: 624.0|
| Episode:  52 | Epsilon:  0.16 | Reward:   9.0 | Average Reward: 12.173 | Steps:   633 | Total Reward: 633.0|
| Episode:  53 | Epsilon:  0.16 | Reward:  11.0 | Average Reward: 12.151 | Steps:   644 | Total Reward: 644.0|
| Episode:  54 | Epsilon:  0.16 | Reward:   9.0 | Average Reward: 12.093 | Steps:   653 | Total Reward: 653.0|
| Episode:  55 | Epsilon:  0.15 | Reward:  11.0 | Average Reward: 12.073 | Steps:   664 | Total Reward: 664.0|
| Episode:  56 | Epsilon:  0.15 | Reward:   9.0 | Average Reward: 12.018 | Steps:   673 | Total Reward: 673.0|
| Episode:  57 | Epsilon:  0.15 | Reward:  12.0 | Average Reward: 12.018 | Steps:   685 | Total Reward: 685.0|
| Episode:  58 | Epsilon:  0.15 | Reward:  10.0 | Average Reward: 11.983 | Steps:   695 | Total Reward: 695.0|
| Episode:  59 | Epsilon:  0.14 | Reward:  14.0 | Average Reward: 12.017 | Steps:   709 | Total Reward: 709.0|
| Episode:  60 | Epsilon:  0.14 | Reward:  11.0 | Average Reward: 12.000 | Steps:   720 | Total Reward: 720.0|
| Episode:  61 | Epsilon:  0.14 | Reward:  10.0 | Average Reward: 11.967 | Steps:   730 | Total Reward: 730.0|
| Episode:  62 | Epsilon:  0.14 | Reward:   8.0 | Average Reward: 11.903 | Steps:   738 | Total Reward: 738.0|
| Episode:  63 | Epsilon:  0.14 | Reward:   9.0 | Average Reward: 11.857 | Steps:   747 | Total Reward: 747.0|
| Episode:  64 | Epsilon:  0.13 | Reward:   9.0 | Average Reward: 11.812 | Steps:   756 | Total Reward: 756.0|
| Episode:  65 | Epsilon:  0.13 | Reward:   9.0 | Average Reward: 11.769 | Steps:   765 | Total Reward: 765.0|
| Episode:  66 | Epsilon:  0.13 | Reward:  13.0 | Average Reward: 11.788 | Steps:   778 | Total Reward: 778.0|
| Episode:  67 | Epsilon:  0.13 | Reward:   8.0 | Average Reward: 11.731 | Steps:   786 | Total Reward: 786.0|
| Episode:  68 | Epsilon:  0.13 | Reward:   9.0 | Average Reward: 11.691 | Steps:   795 | Total Reward: 795.0|
| Episode:  69 | Epsilon:  0.13 | Reward:   9.0 | Average Reward: 11.652 | Steps:   804 | Total Reward: 804.0|
| Episode:  70 | Epsilon:  0.13 | Reward:   9.0 | Average Reward: 11.614 | Steps:   813 | Total Reward: 813.0|
| Episode:  71 | Epsilon:  0.12 | Reward:  12.0 | Average Reward: 11.620 | Steps:   825 | Total Reward: 825.0|
| Episode:  72 | Epsilon:  0.12 | Reward:   9.0 | Average Reward: 11.583 | Steps:   834 | Total Reward: 834.0|
| Episode:  73 | Epsilon:  0.12 | Reward:  10.0 | Average Reward: 11.562 | Steps:   844 | Total Reward: 844.0|
